2025-07-11 14:23:23,438 - INFO - Train: [61/200][2/2]	eta 0:00:08	loss 0.0111	
2025-07-11 14:23:23,468 - INFO - Train: [62/200][1/2]	eta 0:00:08	loss 0.0491	
2025-07-11 14:23:23,490 - INFO - Train: [62/200][2/2]	eta 0:00:08	loss 0.0053	
2025-07-11 14:23:23,523 - INFO - Train: [63/200][1/2]	eta 0:00:08	loss 0.0507	
2025-07-11 14:23:23,546 - INFO - Train: [63/200][2/2]	eta 0:00:08	loss 0.0016	
2025-07-11 14:23:23,579 - INFO - Train: [64/200][1/2]	eta 0:00:08	loss 0.0480	
2025-07-11 14:23:23,602 - INFO - Train: [64/200][2/2]	eta 0:00:08	loss 0.0027	
2025-07-11 14:23:23,633 - INFO - Train: [65/200][1/2]	eta 0:00:08	loss 0.0542	
2025-07-11 14:23:23,657 - INFO - Train: [65/200][2/2]	eta 0:00:08	loss 0.0302	
2025-07-11 14:23:23,692 - INFO - Train: [66/200][1/2]	eta 0:00:08	loss 0.0455	
2025-07-11 14:23:23,716 - INFO - Train: [66/200][2/2]	eta 0:00:08	loss 0.0234	
2025-07-11 14:23:23,751 - INFO - Train: [67/200][1/2]	eta 0:00:08	loss 0.0633	
2025-07-11 14:23:23,775 - INFO - Train: [67/200][2/2]	eta 0:00:08	loss 0.0017	
2025-07-11 14:23:23,810 - INFO - Train: [68/200][1/2]	eta 0:00:08	loss 0.0556	
2025-07-11 14:23:23,834 - INFO - Train: [68/200][2/2]	eta 0:00:08	loss 0.2029	
2025-07-11 14:23:23,869 - INFO - Train: [69/200][1/2]	eta 0:00:08	loss 0.0521	
2025-07-11 14:23:23,894 - INFO - Train: [69/200][2/2]	eta 0:00:08	loss 0.1461	
2025-07-11 14:23:23,929 - INFO - Train: [70/200][1/2]	eta 0:00:08	loss 0.0455	
2025-07-11 14:23:23,953 - INFO - Train: [70/200][2/2]	eta 0:00:08	loss 0.0124	
2025-07-11 14:23:23,988 - INFO - Train: [71/200][1/2]	eta 0:00:07	loss 0.0429	
