2025-07-11 14:21:27,611 - INFO - Train: [87/200][2/2]	eta 0:00:02	loss 0.0035	
2025-07-11 14:21:27,632 - INFO - Train: [88/200][1/2]	eta 0:00:02	loss 0.0357	
2025-07-11 14:21:27,639 - INFO - Train: [88/200][2/2]	eta 0:00:02	loss 0.0133	
2025-07-11 14:21:27,658 - INFO - Train: [89/200][1/2]	eta 0:00:02	loss 0.0313	
2025-07-11 14:21:27,665 - INFO - Train: [89/200][2/2]	eta 0:00:02	loss 0.1658	
2025-07-11 14:21:27,685 - INFO - Train: [90/200][1/2]	eta 0:00:02	loss 0.0355	
2025-07-11 14:21:27,693 - INFO - Train: [90/200][2/2]	eta 0:00:02	loss 0.0203	
2025-07-11 14:21:27,704 - INFO - Train: [91/200][1/2]	eta 0:00:02	loss 0.0353	
2025-07-11 14:21:27,713 - INFO - Train: [91/200][2/2]	eta 0:00:02	loss 0.0280	
2025-07-11 14:21:27,725 - INFO - Train: [92/200][1/2]	eta 0:00:02	loss 0.0368	
2025-07-11 14:21:27,734 - INFO - Train: [92/200][2/2]	eta 0:00:02	loss 0.0059	
2025-07-11 14:21:27,746 - INFO - Train: [93/200][1/2]	eta 0:00:02	loss 0.0384	
2025-07-11 14:21:27,754 - INFO - Train: [93/200][2/2]	eta 0:00:02	loss 0.0021	
2025-07-11 14:21:27,766 - INFO - Train: [94/200][1/2]	eta 0:00:02	loss 0.0390	
2025-07-11 14:21:27,774 - INFO - Train: [94/200][2/2]	eta 0:00:02	loss 0.0189	
2025-07-11 14:21:27,786 - INFO - Train: [95/200][1/2]	eta 0:00:02	loss 0.0386	
2025-07-11 14:21:27,794 - INFO - Train: [95/200][2/2]	eta 0:00:02	loss 0.0114	
2025-07-11 14:21:27,806 - INFO - Train: [96/200][1/2]	eta 0:00:02	loss 0.0367	
2025-07-11 14:21:27,814 - INFO - Train: [96/200][2/2]	eta 0:00:02	loss 0.0163	
2025-07-11 14:21:27,835 - INFO - Train: [97/200][1/2]	eta 0:00:02	loss 0.0362	
2025-07-11 14:21:27,842 - INFO - Train: [97/200][2/2]	eta 0:00:02	loss 0.0008	
2025-07-11 14:21:27,862 - INFO - Train: [98/200][1/2]	eta 0:00:02	loss 0.0360	
2025-07-11 14:21:27,870 - INFO - Train: [98/200][2/2]	eta 0:00:02	loss 0.0116	
2025-07-11 14:21:27,882 - INFO - Train: [99/200][1/2]	eta 0:00:02	loss 0.0345	
2025-07-11 14:21:27,890 - INFO - Train: [99/200][2/2]	eta 0:00:02	loss 0.0768	
2025-07-11 14:21:27,903 - INFO - Train: [100/200][1/2]	eta 0:00:02	loss 0.0357	
2025-07-11 14:21:27,910 - INFO - Train: [100/200][2/2]	eta 0:00:02	loss 0.0534	
2025-07-11 14:21:27,923 - INFO - Train: [101/200][1/2]	eta 0:00:02	loss 0.0384	
2025-07-11 14:21:27,931 - INFO - Train: [101/200][2/2]	eta 0:00:02	loss 0.0046	
2025-07-11 14:21:27,943 - INFO - Train: [102/200][1/2]	eta 0:00:02	loss 0.0395	
2025-07-11 14:21:27,952 - INFO - Train: [102/200][2/2]	eta 0:00:02	loss 0.0062	
2025-07-11 14:21:27,965 - INFO - Train: [103/200][1/2]	eta 0:00:02	loss 0.0396	
2025-07-11 14:21:27,973 - INFO - Train: [103/200][2/2]	eta 0:00:02	loss 0.0128	
2025-07-11 14:21:27,986 - INFO - Train: [104/200][1/2]	eta 0:00:02	loss 0.0389	
2025-07-11 14:21:27,994 - INFO - Train: [104/200][2/2]	eta 0:00:02	loss 0.0369	
2025-07-11 14:21:28,006 - INFO - Train: [105/200][1/2]	eta 0:00:02	loss 0.0383	
2025-07-11 14:21:28,015 - INFO - Train: [105/200][2/2]	eta 0:00:02	loss 0.0418	
2025-07-11 14:21:28,028 - INFO - Train: [106/200][1/2]	eta 0:00:02	loss 0.0376	
2025-07-11 14:21:28,036 - INFO - Train: [106/200][2/2]	eta 0:00:02	loss 0.0132	
2025-07-11 14:21:28,049 - INFO - Train: [107/200][1/2]	eta 0:00:02	loss 0.0361	
2025-07-11 14:21:28,057 - INFO - Train: [107/200][2/2]	eta 0:00:02	loss 0.0156	
2025-07-11 14:21:28,070 - INFO - Train: [108/200][1/2]	eta 0:00:02	loss 0.0358	
2025-07-11 14:21:28,078 - INFO - Train: [108/200][2/2]	eta 0:00:02	loss 0.0042	
2025-07-11 14:21:28,090 - INFO - Train: [109/200][1/2]	eta 0:00:02	loss 0.0331	
2025-07-11 14:21:28,099 - INFO - Train: [109/200][2/2]	eta 0:00:02	loss 0.0847	
2025-07-11 14:21:28,112 - INFO - Train: [110/200][1/2]	eta 0:00:02	loss 0.0336	
2025-07-11 14:21:28,121 - INFO - Train: [110/200][2/2]	eta 0:00:02	loss 0.0661	
2025-07-11 14:21:28,134 - INFO - Train: [111/200][1/2]	eta 0:00:02	loss 0.0353	
2025-07-11 14:21:28,142 - INFO - Train: [111/200][2/2]	eta 0:00:02	loss 0.0137	
2025-07-11 14:21:28,155 - INFO - Train: [112/200][1/2]	eta 0:00:02	loss 0.0361	
